Id,night_minutes,temp,NY,holliday,sunday,saturday,covid_cases,food_gen,investment,salary,house_built,sale,salary_arrears,agricultural_industry,food_price,date,Y,date,Y,salary_arrears,date,Y,salary_arrears,sale,food_price
0,349,16.6,0.0,0.0,0,0,0.0,98.04,37426.3,20081.3,300.8,26272.0,138976.0,56.8,2247.28,2010-06-22,571372.0,2010-06-22,571372.0,138976.0,2010-06-22,571372.0,138976.0,26272.0,2247.28
1,349,20.1,0.0,0.0,0,0,0.0,98.04,37426.3,20081.3,300.8,26272.0,138976.0,56.8,2247.28,2010-06-23,571281.0,2010-06-23,571281.0,138976.0,2010-06-23,571281.0,138976.0,26272.0,2247.28
2,349,23.1,0.0,0.0,0,0,0.0,98.04,37426.3,20081.3,300.8,26272.0,138976.0,56.8,2247.28,2010-06-24,573894.0,2010-06-24,573894.0,138976.0,2010-06-24,573894.0,138976.0,26272.0,2247.28
3,350,21.8,0.0,0.0,0,0,0.0,98.04,37426.3,20081.3,300.8,26272.0,138976.0,56.8,2247.28,2010-06-25,576184.0,2010-06-25,576184.0,138976.0,2010-06-25,576184.0,138976.0,26272.0,2247.28
4,350,20.4,0.0,0.0,0,1,0.0,98.04,37426.3,20081.3,300.8,26272.0,138976.0,56.8,2247.28,2010-06-26,554899.0,2010-06-26,554899.0,138976.0,2010-06-26,554899.0,138976.0,26272.0,2247.28
5,351,19.7,0.0,0.0,1,0,0.0,98.04,37426.3,20081.3,300.8,26272.0,138976.0,56.8,2247.28,2010-06-27,549602.0,2010-06-27,549602.0,138976.0,2010-06-27,549602.0,138976.0,26272.0,2247.28
6,352,23.5,0.0,0.0,0,0,0.0,98.04,37426.3,20081.3,300.8,26272.0,138976.0,56.8,2247.28,2010-06-28,575325.0,2010-06-28,575325.0,138976.0,2010-06-28,575325.0,138976.0,26272.0,2247.28
7,353,24.2,0.0,0.0,0,0,0.0,98.04,37426.3,20081.3,300.8,26272.0,138976.0,56.8,2247.28,2010-06-29,575390.0,2010-06-29,575390.0,138976.0,2010-06-29,575390.0,138976.0,26272.0,2247.28
8,354,19.9,0.0,0.0,0,0,0.0,98.04,37426.3,20081.3,300.8,26272.0,138976.0,56.8,2247.28,2010-06-30,573235.0,2010-06-30,573235.0,138976.0,2010-06-30,573235.0,138976.0,26272.0,2247.28
9,355,16.6,0.0,0.0,0,0,0.0,100.82,63366.9,19331.4,318.9,27252.0,182495.0,55.3,2286.87,2010-07-01,586451.0,2010-07-01,586451.0,182495.0,2010-07-01,586451.0,182495.0,27252.0,2286.87
10,357,17.1,0.0,0.0,0,0,0.0,100.82,63366.9,19331.4,318.9,27252.0,182495.0,55.3,2286.87,2010-07-02,590739.0,2010-07-02,590739.0,182495.0,2010-07-02,590739.0,182495.0,27252.0,2286.87
11,359,20.8,0.0,0.0,0,1,0.0,100.82,63366.9,19331.4,318.9,27252.0,182495.0,55.3,2286.87,2010-07-03,572731.0,2010-07-03,572731.0,182495.0,2010-07-03,572731.0,182495.0,27252.0,2286.87
12,360,22.7,0.0,0.0,1,0,0.0,100.82,63366.9,19331.4,318.9,27252.0,182495.0,55.3,2286.87,2010-07-04,569437.0,2010-07-04,569437.0,182495.0,2010-07-04,569437.0,182495.0,27252.0,2286.87
13,362,19.1,0.0,0.0,0,0,0.0,100.82,63366.9,19331.4,318.9,27252.0,182495.0,55.3,2286.87,2010-07-05,594257.0,2010-07-05,594257.0,182495.0,2010-07-05,594257.0,182495.0,27252.0,2286.87
14,364,15.8,0.0,0.0,0,0,0.0,100.82,63366.9,19331.4,318.9,27252.0,182495.0,55.3,2286.87,2010-07-06,591381.0,2010-07-06,591381.0,182495.0,2010-07-06,591381.0,182495.0,27252.0,2286.87
15,366,17.0,0.0,0.0,0,0,0.0,100.82,63366.9,19331.4,318.9,27252.0,182495.0,55.3,2286.87,2010-07-07,593918.0,2010-07-07,593918.0,182495.0,2010-07-07,593918.0,182495.0,27252.0,2286.87
16,369,18.6,0.0,0.0,0,0,0.0,100.82,63366.9,19331.4,318.9,27252.0,182495.0,55.3,2286.87,2010-07-08,596370.0,2010-07-08,596370.0,182495.0,2010-07-08,596370.0,182495.0,27252.0,2286.87
17,371,19.5,0.0,0.0,0,0,0.0,100.82,63366.9,19331.4,318.9,27252.0,182495.0,55.3,2286.87,2010-07-09,598661.0,2010-07-09,598661.0,182495.0,2010-07-09,598661.0,182495.0,27252.0,2286.87
18,374,22.7,0.0,0.0,0,1,0.0,100.82,63366.9,19331.4,318.9,27252.0,182495.0,55.3,2286.87,2010-07-10,578720.0,2010-07-10,578720.0,182495.0,2010-07-10,578720.0,182495.0,27252.0,2286.87
19,376,21.9,0.0,0.0,1,0,0.0,100.82,63366.9,19331.4,318.9,27252.0,182495.0,55.3,2286.87,2010-07-11,574343.0,2010-07-11,574343.0,182495.0,2010-07-11,574343.0,182495.0,27252.0,2286.87
20,378,21.7,0.0,0.0,0,0,0.0,100.82,63366.9,19331.4,318.9,27252.0,182495.0,55.3,2286.87,2010-07-12,599441.0,2010-07-12,599441.0,182495.0,2010-07-12,599441.0,182495.0,27252.0,2286.87
21,382,17.8,0.0,0.0,0,0,0.0,100.82,63366.9,19331.4,318.9,27252.0,182495.0,55.3,2286.87,2010-07-13,601943.0,2010-07-13,601943.0,182495.0,2010-07-13,601943.0,182495.0,27252.0,2286.87
22,385,16.6,0.0,0.0,0,0,0.0,100.82,63366.9,19331.4,318.9,27252.0,182495.0,55.3,2286.87,2010-07-14,599764.0,2010-07-14,599764.0,182495.0,2010-07-14,599764.0,182495.0,27252.0,2286.87
23,387,20.3,0.0,0.0,0,0,0.0,100.82,63366.9,19331.4,318.9,27252.0,182495.0,55.3,2286.87,2010-07-15,597356.0,2010-07-15,597356.0,182495.0,2010-07-15,597356.0,182495.0,27252.0,2286.87
24,391,21.5,0.0,0.0,0,0,0.0,100.82,63366.9,19331.4,318.9,27252.0,182495.0,55.3,2286.87,2010-07-16,597744.0,2010-07-16,597744.0,182495.0,2010-07-16,597744.0,182495.0,27252.0,2286.87
25,394,22.5,0.0,0.0,0,1,0.0,100.82,63366.9,19331.4,318.9,27252.0,182495.0,55.3,2286.87,2010-07-17,578763.0,2010-07-17,578763.0,182495.0,2010-07-17,578763.0,182495.0,27252.0,2286.87
26,397,18.5,0.0,0.0,1,0,0.0,100.82,63366.9,19331.4,318.9,27252.0,182495.0,55.3,2286.87,2010-07-18,579417.0,2010-07-18,579417.0,182495.0,2010-07-18,579417.0,182495.0,27252.0,2286.87
