Id,NightDuration,Weather,NewYear,Holliday,Sunday,Saturday,CovidCases,Target
4015,349,16.6,0.0,0.0,0,0,0.0,571372.0
4016,349,20.1,0.0,0.0,0,0,0.0,571281.0
4017,349,23.1,0.0,0.0,0,0,0.0,573894.0
4018,350,21.8,0.0,0.0,0,0,0.0,576184.0
4019,350,20.4,0.0,0.0,0,1,0.0,554899.0
4020,351,19.7,0.0,0.0,1,0,0.0,549602.0
4021,352,23.5,0.0,0.0,0,0,0.0,575325.0
4022,353,24.2,0.0,0.0,0,0,0.0,575390.0
4023,354,19.9,0.0,0.0,0,0,0.0,573235.0
4024,355,16.6,0.0,0.0,0,0,0.0,586451.0
4025,357,17.1,0.0,0.0,0,0,0.0,590739.0
4026,359,20.8,0.0,0.0,0,1,0.0,572731.0
4027,360,22.7,0.0,0.0,1,0,0.0,569437.0
4028,362,19.1,0.0,0.0,0,0,0.0,594257.0
4029,364,15.8,0.0,0.0,0,0,0.0,591381.0
4030,366,17.0,0.0,0.0,0,0,0.0,593918.0
4031,369,18.6,0.0,0.0,0,0,0.0,596370.0
4032,371,19.5,0.0,0.0,0,0,0.0,598661.0
4033,374,22.7,0.0,0.0,0,1,0.0,578720.0
4034,376,21.9,0.0,0.0,1,0,0.0,574343.0
4035,378,21.7,0.0,0.0,0,0,0.0,599441.0
4036,382,17.8,0.0,0.0,0,0,0.0,601943.0
4037,385,16.6,0.0,0.0,0,0,0.0,599764.0
4038,387,20.3,0.0,0.0,0,0,0.0,597356.0
4039,391,21.5,0.0,0.0,0,0,0.0,597744.0
4040,394,22.5,0.0,0.0,0,1,0.0,578763.0
4041,397,18.5,0.0,0.0,1,0,0.0,579417.0
4042,401,15.3,0.0,0.0,0,0,0.0,599359.0
4043,404,16.5,0.0,0.0,0,0,0.0,594495.0
4044,408,20.3,0.0,0.0,0,0,0.0,595034.0
4045,412,22.4,0.0,0.0,0,0,0.0,593689.0
4046,416,23.4,0.0,0.0,0,0,0.0,594936.0
4047,418,24.2,0.0,0.0,0,1,0.0,573953.0
4048,422,24.9,0.0,0.0,1,0,0.0,570569.0
4049,426,21.6,0.0,0.0,0,0,0.0,589765.0
4050,430,18.8,0.0,0.0,0,0,0.0,593264.0
4051,434,21.7,0.0,0.0,0,0,0.0,597718.0
4052,438,21.7,0.0,0.0,0,0,0.0,597404.0
4053,443,24.8,0.0,0.0,0,0,0.0,595884.0
4054,448,25.7,0.0,0.0,0,1,0.0,578956.0
4055,452,25.3,0.0,0.0,1,0,0.0,578395.0
4056,456,26.7,0.0,0.0,0,0,0.0,603163.0
4057,460,25.8,0.0,0.0,0,0,0.0,603972.0
4058,465,24.3,0.0,0.0,0,0,0.0,608913.0
4059,469,23.8,0.0,0.0,0,0,0.0,607404.0
4060,473,25.4,0.0,0.0,0,0,0.0,609030.0
4061,478,26.0,0.0,0.0,0,1,0.0,583904.0
4062,482,24.2,0.0,0.0,1,0,0.0,576891.0
4063,487,19.2,0.0,0.0,0,0,0.0,602586.0
4064,492,21.6,0.0,0.0,0,0,0.0,607553.0
4065,496,26.7,0.0,0.0,0,0,0.0,609872.0
4066,501,27.4,0.0,0.0,0,0,0.0,608713.0
4067,505,23.7,0.0,0.0,0,0,0.0,609957.0
4068,510,19.2,0.0,0.0,0,1,0.0,587613.0
4069,515,16.3,0.0,0.0,1,0,0.0,582016.0
4070,520,18.6,0.0,0.0,0,0,0.0,603378.0
4071,524,17.2,0.0,0.0,0,0,0.0,608053.0
4072,529,14.2,0.0,0.0,0,0,0.0,608310.0
4073,534,17.8,0.0,0.0,0,0,0.0,612296.0
4074,538,17.2,0.0,0.0,0,0,0.0,618625.0
4075,543,13.2,0.0,0.0,0,1,0.0,603745.0
4076,549,13.4,0.0,0.0,1,0,0.0,596873.0
4077,553,10.9,0.0,0.0,0,0,0.0,623593.0
4078,558,14.9,0.0,0.0,0,0,0.0,623209.0
4079,563,14.7,0.0,0.0,0,0,0.0,619461.0
4080,567,16.7,0.0,0.0,0,0,0.0,619096.0
4081,572,21.8,0.0,0.0,0,0,0.0,614524.0
4082,578,18.4,0.0,0.0,0,1,0.0,593083.0
4083,582,17.1,0.0,0.0,1,0,0.0,589634.0
4084,587,23.7,0.0,0.0,0,0,0.0,616626.0
4085,592,18.0,0.0,0.0,0,0,0.0,613202.0
4086,597,10.9,0.0,0.0,0,0,0.0,619297.0
4087,602,9.9,0.0,0.0,0,0,0.0,621913.0
4088,606,15.2,0.0,0.0,0,0,0.0,622257.0
4089,612,19.7,0.0,0.0,0,1,0.0,598874.0
4090,617,16.5,0.0,0.0,1,0,0.0,592616.0
4091,622,13.7,0.0,0.0,0,0,0.0,625152.0
4092,627,9.2,0.0,0.0,0,0,0.0,633444.0
4093,631,6.7,0.0,0.0,0,0,0.0,638688.0
4094,636,8.8,0.0,0.0,0,0,0.0,637525.0
4095,641,5.7,0.0,0.0,0,0,0.0,646638.0
4096,647,3.3,0.0,0.0,0,1,0.0,636142.0
4097,652,5.5,0.0,0.0,1,0,0.0,634910.0
4098,657,5.1,0.0,0.0,0,0,0.0,659511.0
4099,661,6.7,0.0,0.0,0,0,0.0,655945.0
4100,666,10.9,0.0,0.0,0,0,0.0,654676.0
4101,671,14.9,0.0,0.0,0,0,0.0,649207.0
4102,676,14.5,0.0,0.0,0,0,0.0,649180.0
4103,681,16.4,0.0,0.0,0,1,0.0,627555.0
4104,687,17.3,0.0,0.0,1,0,0.0,615007.0
4105,691,17.7,0.0,0.0,0,0,0.0,636521.0
4106,696,15.3,0.0,0.0,0,0,0.0,636564.0
4107,701,13.7,0.0,0.0,0,0,0.0,641853.0
4108,706,12.3,0.0,0.0,0,0,0.0,647704.0
4109,711,15.0,0.0,0.0,0,0,0.0,651863.0
4110,716,12.5,0.0,0.0,0,1,0.0,634327.0
4111,721,11.1,0.0,0.0,1,0,0.0,625654.0
4112,726,10.8,0.0,0.0,0,0,0.0,649527.0
4113,731,9.1,0.0,0.0,0,0,0.0,648555.0
4114,736,10.9,0.0,0.0,0,0,0.0,657161.0
4115,741,12.3,0.0,0.0,0,0,0.0,653519.0
